chunk_id,doc_id,chunk_index,title,category,chunk_text,chunk_word_count
1_1,1,1,Ukraine conflict: Your guide to understanding day 11,unknown,More than 1.5 million Ukrainians have fled the country. Here's what you need to know after day 11 of the war.,21
2_1,2,1,Russian gymnast investigated for wearing pro-war symbol on podium next to Ukrainian,unknown,Russian gymnast Ivan Kuliak is being investigated after wearing a national war symbol on his leotard as he stood next to a Ukrainian rival on the podium in Qatar on Saturday.,31
3_1,3,1,Ukraine crisis: The West fights back against Putin the disruptor,unknown,Several US presidents have failed to get the measure of him but now Europe has joined the fray things may change.,21
4_1,4,1,Ukraine maps: New agreed ceasefire breaks down in south,unknown,"A ceasefire agreement in the southern city of Mariupol, breaks down a second time, with both sides blaming each other.",20
5_1,5,1,Man in dinghy in near miss with Southampton-bound container ship,unknown,The moment a man swims out of the path of a container ship off Southampton is captured on a phone.,20
6_1,6,1,"From Grozny to Aleppo to Ukraine, Russia meets resistance with more firepower",unknown,"Russia answers resistance with big guns and sieges. Ukrainians pray that will not happen to them, writes the BBC's Jeremy Bowen in Kyiv.",23
7_1,7,1,England bowler Robinson ruled out of first Test with back injury,unknown,England seam bowler Ollie Robinson has been ruled out of the first Test against West Indies with a back injury.,20
8_1,8,1,Who's got his club buzzing again? - Garth's Team of the Week,unknown,Who is a candidate for manager of the season? Who could play until he's 40? And who is back to their best? Find out in Garth Crooks' latest Team of the Week.,32
9_1,9,1,Welsh Open: Joe Perry beats Judd Trump to win title,unknown,Joe Perry beats Judd Trump 9-5 to win the Welsh Open title for the first time at Celtic Manor Resort in Newport.,22
10_1,10,1,GB ski pairings win two more Paralympic bronzes,unknown,Britain's Menna Fitzpatrick and Neil Simpson both win their second medals of the Beijing Winter Paralympics with super combined bronze.,20
11_1,11,1,'Man City prove a point to anyone who doubted them' - MOTD2 analysis,unknown,MOTD2 pundit Danny Murphy feels Manchester City played like they had a point to prove against Manchester United and their second-half performance was an emphatic statement to anyone who doubted them.,31
12_1,12,1,'Phil Foden sets the tempo' - how Man City 'steamrollered' Man Utd,unknown,Match of the Day 2's Danny Murphy and Troy Deeney analyse how the combination play between Phil Foden and Kevin de Bruyne helped Manchester City beat Manchester United 4-1.,29
13_1,13,1,Women's World Cup: Bates stars as New Zealand thrash Bangladesh,unknown,Suzie Bates hits 79 not out on her home ground to lead New Zealand to a nine-wicket victory over Bangladesh at the Women's World Cup.,25
14_1,14,1,One dead after Scottish trawler capsizes off Norway,unknown,He was one of three crew members airlifted to hospital after they were found on the keel of the boat.,20
15_1,15,1,WSL highlights: Arsenal survive scare to beat Birmingham and extend WSL lead,unknown,Vivianne Miedema becomes the first player to reach 100 Women's Super League goal contributions as leaders Arsenal see off a late Birmingham charge to win 4-2 at Meadow Park.,29
16_1,16,1,Doctors call on Wales not to pick Francis following head injury against England,unknown,"The decision to declare Wales prop Tomas Francis fit to face France in the Six Nations in Cardiff on Friday has been described as a ""grave mistake"".",27
17_1,17,1,Henderson back in Ireland squad to face England but Larmour out for rest of Six Nations,unknown,Iain Henderson is back in Ireland's squad for the Six Nations game against England but Jordan Larmour will miss the rest of the tournament.,24
18_1,18,1,"Six Nations 2022: Gray, Hastings, Young & Thompson added to Scotland squad",unknown,"Jonny Gray, Adam Hastings and two others join the Scotland squad before Saturday's Six Nations meeting with Italy in Rome.",20
